TTO;N;P;B;PL;SDT;FC;R;CCI;CCI.R;CCI.I;FC.R;FC.I
0.0N/0.6P;0.0N;0.6P;3;237;7;0,788;3;23,7;23,7;FALSO;0,788;FALSO
0.0N/0.6P;0.0N;0.6P;3;237;7;0,69;4;20,3;20,3;FALSO;0,69;FALSO
1.1N/0.6P;1.1N;0.6P;3;243;7;0,843;1;17,1;17,1;FALSO;0,843;FALSO
1.1N/0.6P;1.1N;0.6P;3;243;7;0,79;2;19,9;19,9;FALSO;0,79;FALSO
1.1N/0.6P;1.1N;0.6P;3;243;7;0,744;3;12,5;12,5;FALSO;0,744;FALSO
1.1N/0.6P;1.1N;0.6P;3;243;7;1,093;4;21,5;21,5;FALSO;0,7385;VERDADERO
1.1N/0.6P;1.1N;0.6P;3;248;7;0,764;1;21,8;21,8;FALSO;0,764;FALSO
1.1N/0.6P;1.1N;0.6P;3;248;7;1,02;2;36,3;36,3;FALSO;0,7385;VERDADERO
1.1N/0.6P;1.1N;0.6P;3;248;7;0,843;3;30,2;30,2;FALSO;0,843;FALSO
1.1N/0.6P;1.1N;0.6P;3;248;7;0,838;4;32,6;32,6;FALSO;0,838;FALSO
1.8N/0.6P;1.8N;0.6P;3;250;7;0,64;1;10,2;10,2;FALSO;0,64;FALSO
1.8N/0.6P;1.8N;0.6P;3;250;7;0,789;2;11,3;11,3;FALSO;0,789;FALSO
1.8N/0.6P;1.8N;0.6P;3;250;7;0,797;3;20,3;20,3;FALSO;0,797;FALSO
1.8N/0.6P;1.8N;0.6P;3;250;7;0,867;4;19,8;19,8;FALSO;0,867;FALSO
1.8N/0.6P;1.8N;0.6P;3;251;7;0,982;1;18,3;18,3;FALSO;0,982;FALSO
1.8N/0.6P;1.8N;0.6P;3;251;7;0,755;2;14,4;14,4;FALSO;0,755;FALSO
1.8N/0.6P;1.8N;0.6P;3;251;7;0,782;3;17,8;17,8;FALSO;0,782;FALSO
1.8N/0.6P;1.8N;0.6P;3;251;7;0,802;4;14,1;14,1;FALSO;0,802;FALSO
2.5N/0.6P;2.5N;0.6P;3;260;7;0,768;1;33,1;33,1;FALSO;0,768;FALSO
2.5N/0.6P;2.5N;0.6P;3;260;7;0,801;2;26,3;26,3;FALSO;0,801;FALSO
2.5N/0.6P;2.5N;0.6P;3;260;7;0,776;3;31,5;31,5;FALSO;0,776;FALSO
2.5N/0.6P;2.5N;0.6P;3;260;7;0,914;4;35,3;35,3;FALSO;0,914;FALSO
2.5N/0.6P;2.5N;0.6P;3;263;7;0,739;1;16,8;16,8;FALSO;0,739;FALSO
2.5N/0.6P;2.5N;0.6P;3;263;7;0,709;2;15,6;15,6;FALSO;0,709;FALSO
